iter	Passed	Remaining
0	40	121734
1	79	118444
2	117	117750
3	157	117986
4	197	118014
5	239	119312
6	279	119704
7	320	119841
8	363	120872
9	423	126513
10	464	126157
11	503	125457
12	543	124845
13	582	124141
14	621	123582
15	660	123227
16	699	122782
17	739	122466
18	780	122386
19	820	122226
20	860	122032
21	900	121828
22	938	121516
23	977	121197
24	1015	120886
25	1054	120663
26	1094	120565
27	1133	120324
28	1173	120214
29	1212	119992
30	1251	119832
31	1290	119658
32	1329	119493
33	1367	119319
34	1407	119243
35	1447	119159
36	1486	119041
37	1526	118966
38	1565	118874
39	1607	118927
40	1646	118825
41	1685	118730
42	1726	118736
43	1765	118638
44	1805	118543
45	1844	118456
46	1883	118333
47	1922	118210
48	1961	118119
49	1999	117964
50	2037	117787
51	2076	117723
52	2114	117561
53	2153	117496
54	2194	117483
55	2234	117455
56	2273	117361
57	2311	117228
58	2350	117163
59	2389	117089
60	2428	116991
61	2467	116948
62	2507	116882
63	2546	116807
64	2586	116786
65	2626	116778
66	2666	116725
67	2706	116695
68	2745	116634
69	2786	116614
70	2826	116604
71	2866	116564
72	2905	116513
73	2946	116486
74	2985	116438
75	3026	116433
76	3066	116408
77	3104	116316
78	3144	116264
79	3184	116219
80	3223	116170
81	3264	116151
82	3303	116111
83	3344	116087
84	3384	116073
85	3426	116087
86	3466	116059
87	3506	116027
88	3545	115956
89	3585	115936
90	3624	115866
91	3663	115802
92	3703	115758
93	3742	115691
94	3783	115685
95	3823	115653
96	3863	115627
97	3902	115561
98	3942	115537
99	3982	115506
100	4022	115468
101	4065	115505
102	4104	115454
103	4143	115390
104	4183	115336
105	4223	115302
106	4263	115277
107	4303	115234
108	4342	115176
109	4382	115131
110	4421	115082
111	4460	115018
112	4499	114965
113	4538	114905
114	4578	114869
115	4617	114812
116	4658	114780
117	4696	114706
118	4737	114687
119	4781	114756
120	4830	114931
121	4913	115919
122	4964	116112
123	5006	116112
124	5046	116061
125	5086	116018
126	5125	115956
127	5166	115923
128	5206	115875
129	5246	115833
130	5287	115799
131	5326	115737
132	5365	115663
133	5405	115623
134	5445	115560
135	5484	115507
136	5525	115463
137	5565	115422
138	5604	115348
139	5644	115304
140	5683	115250
141	5722	115182
142	5762	115139
143	5802	115081
144	5842	115030
145	5881	114969
146	5920	114913
147	5960	114859
148	5998	114773
149	6036	114690
150	6076	114650
151	6115	114586
152	6154	114523
153	6193	114455
154	6232	114395
155	6272	114348
156	6312	114303
157	6352	114257
158	6391	114199
159	6431	114165
160	6471	114118
161	6510	114060
162	6549	113999
163	6589	113958
164	6630	113925
165	6669	113864
166	6708	113798
167	6748	113758
168	6788	113717
169	6828	113672
170	6868	113631
171	6908	113589
172	6947	113531
173	6987	113491
174	7027	113450
175	7065	113376
176	7105	113328
177	7145	113281
178	7184	113224
179	7224	113191
180	7264	113145
181	7304	113100
182	7344	113051
183	7385	113029
184	7425	112990
185	7465	112947
186	7504	112895
187	7544	112844
188	7583	112787
189	7622	112729
190	7661	112679
191	7701	112635
192	7740	112576
193	7778	112513
194	7819	112474
195	7859	112433
196	7897	112370
197	7937	112321
198	7977	112290
199	8017	112245
200	8057	112203
201	8097	112157
202	8136	112108
203	8175	112046
204	8214	111997
205	8254	111950
206	8293	111895
207	8331	111831
208	8371	111790
209	8411	111749
