iter	TotalF1:average=Macro	MultiClass
74	0.5397521999	1.335694079
75	0.5419350851	1.33145317
76	0.5436422739	1.326922383
77	0.5458316082	1.322725141
78	0.5481155545	1.318109099
79	0.5504730213	1.313699421
80	0.5513993881	1.310111885
81	0.5522011408	1.306462007
82	0.5530489445	1.302695212
83	0.5552081273	1.298197691
84	0.5563640145	1.295041938
85	0.559228368	1.291145218
86	0.5605008621	1.287108895
87	0.5620017061	1.283426572
88	0.5632721036	1.280335742
89	0.5656377218	1.276553782
90	0.5668232772	1.272735715
91	0.5684798582	1.269529523
92	0.5709415228	1.266291801
93	0.5718830423	1.263428577
94	0.5742332937	1.259352662
95	0.5756634841	1.255186977
96	0.5762464972	1.252207669
97	0.5762846824	1.249627236
98	0.5776425817	1.24629452
99	0.5800517616	1.242853047
100	0.5812003379	1.239967393
101	0.5811722274	1.236303294
102	0.5825153018	1.233615276
103	0.5846423882	1.230115931
104	0.5853974578	1.22788212
105	0.5868607963	1.224488677
106	0.5875187135	1.22149004
107	0.5881247517	1.218806591
108	0.5897848348	1.215909128
109	0.5908228858	1.212577132
110	0.5928173548	1.209290096
111	0.5946365519	1.207197979
112	0.595334735	1.203924869
113	0.5960949825	1.200957866
114	0.5977972743	1.197875547
115	0.5990594891	1.194047533
116	0.6005534979	1.1917548
117	0.5999898569	1.189568262
118	0.60082459	1.187159442
119	0.6030770942	1.184161557
120	0.6051590465	1.182368471
121	0.6060523729	1.180402473
122	0.6076347121	1.178155153
123	0.6082998983	1.17615102
124	0.6095805995	1.173433682
125	0.6111511106	1.170777521
126	0.6124993818	1.167930523
127	0.6129560479	1.165495954
128	0.6144568158	1.163371744
129	0.6154345393	1.160792783
130	0.6160140385	1.158046055
131	0.6173165721	1.155059848
132	0.6182441514	1.15229268
133	0.6187477758	1.150310702
134	0.6201501549	1.147655775
135	0.6208891294	1.14532225
136	0.6217422474	1.14339392
137	0.6231410351	1.141100287
138	0.623520063	1.139288747
139	0.624231167	1.137292851
140	0.6257937267	1.135461257
141	0.6267031626	1.133810388
142	0.6274265955	1.131244606
143	0.6286322188	1.128127699
144	0.6291919919	1.126338699
145	0.6309446713	1.124009375
146	0.6303073183	1.122235784
147	0.6319023981	1.119867849
148	0.6334962627	1.116986473
149	0.6346624613	1.114369743
150	0.6364818933	1.111959567
151	0.6377337959	1.110336528
152	0.6389604556	1.108116373
153	0.6403922525	1.105464883
154	0.642014209	1.102708058
155	0.6433633473	1.100446563
156	0.644521885	1.097984151
157	0.6446112724	1.095686154
158	0.645476766	1.094236717
159	0.6455439894	1.092414058
160	0.646423487	1.09008714
161	0.6472950173	1.088323822
162	0.648891908	1.085883159
163	0.6505400907	1.083392278
164	0.6509416422	1.08192475
165	0.6522098398	1.079935625
166	0.6540644181	1.0771134
167	0.6550160619	1.075539877
168	0.656514377	1.072610856
169	0.6568962279	1.070780488
170	0.6582911696	1.068788267
171	0.6602499433	1.066644654
172	0.6611398234	1.06466602
173	0.6620408368	1.062579271
174	0.6620337079	1.061109717
175	0.6627147511	1.059256588
176	0.6637988217	1.057731567
177	0.664709473	1.055949531
178	0.6651306295	1.054029593
179	0.6653337695	1.052917221
180	0.6664709535	1.051473805
181	0.6687542774	1.049629808
182	0.6691465025	1.048320285
183	0.669759532	1.04706878
184	0.6700232553	1.045024723
185	0.6716424482	1.042515365
186	0.6726215081	1.040490968
187	0.6733383735	1.038137493
188	0.6741445681	1.036217298
189	0.674585385	1.034664643
190	0.6759016916	1.032720626
191	0.6764851204	1.031590797
192	0.6781804062	1.029635886
193	0.6796776655	1.02753195
194	0.6804395535	1.025637112
195	0.6816786631	1.023539158
196	0.6831466195	1.021592037
197	0.6842698048	1.01901322
198	0.6841935215	1.017300151
199	0.686066363	1.015968614
200	0.686969586	1.014455591
201	0.6878569911	1.013013047
202	0.6889527694	1.011516655
203	0.6897053191	1.009088835
204	0.6898952077	1.00797723
205	0.6909602564	1.006752622
206	0.6912111064	1.005171668
207	0.692605386	1.003739679
208	0.6929384136	1.002334562
209	0.6934205868	1.000525475
